name,lcd,pld,void_fraction,surface_area_m2g,elements,uptake_0.01,uptake_0.05,uptake_0.1,uptake_0.5,uptake_2.5
hMOF-5009118,4.25,2.75,0.29518,304.2,"Zn,O,C,H",0.0236315,0.134466,0.261645,1.01004,2.69229
hMOF-10433,8.75,7.75,0.707055,2599.5,"Zn,O,C,H",0.0842736,0.328705,0.798157,2.73858,9.79452
hMOF-5016073,13.75,12.25,0.797393,5024.3,"Zn,O,C,H,N",0.0176716,0.127299,0.204334,1.08728,4.02404
hMOF-5011354,9.25,6.75,0.811598,5322.4,"Zn,O,C,H",0.0366569,0.163974,0.32402,1.64886,9.50773
hMOF-4665,5.75,4.25,0.523469,1813.9,"Zn,O,C,H",0.0875523,0.402546,0.974489,2.77147,6.83256
hMOF-5057146,7.25,4.75,0.558372,1879.2,"O,Zn,C,N,H",0.0540367,0.271922,0.479895,1.92968,5.1363
hMOF-5036902,3.75,2.75,0.213634,26.0,"O,Zn,C,N,H",0.113804,0.584138,0.904894,1.66656,2.20385
hMOF-5010147,3.75,2.25,0.124142,11.8,"Zn,O,C,H,Br",0.0479607,0.442341,0.536425,0.802616,1.04264
hMOF-25027,15.75,14.25,0.848589,4246.1,"O,Zn,C,N,H",0.0203019,0.0997005,0.1792,0.870571,4.43687
hMOF-5004492,5.75,3.25,0.316619,509.8,"Zn,O,C,H,Br",0.0653381,0.308084,0.487728,1.64835,2.8981
hMOF-5053008,6.75,5.25,0.761277,4793.4,"O,Zn,C,N,H",0.0222826,0.114866,0.245956,1.14013,6.9312
hMOF-5047765,9.75,8.75,0.69988,2822.9,"O,Zn,C,N,H",0.0353359,0.175454,0.338757,1.69802,5.91559
hMOF-12401,9.75,8.75,0.769363,3495.3,"Zn,O,C,H",0.0376509,0.218398,0.468904,2.0507,8.12335
hMOF-11839,6.75,4.75,0.567709,1958.8,"Zn,O,C,H,N",0.0498976,0.260771,0.502975,2.28653,6.44079
hMOF-20362,5.75,4.75,0.520184,1206.3,"O,Zn,C,N,H,Br",0.122857,0.599082,1.05266,3.33712,5.59938
hMOF-5057571,7.25,5.25,0.743323,2810.5,"O,Zn,C,N,H,F",0.226816,1.1158,2.10426,6.68764,11.3759
hMOF-5049163,5.75,3.75,0.484361,1403.9,"O,Zn,C,N,H",0.0721116,0.371917,0.743213,2.81009,6.52621
